,Model,Mileage in mi,Dealer Name,Rating,Rating Count,Price in $,Brand Name,Year
57,"['S60', 'T5']","38,892 mi.",McLarty Volvo Cars of Little Rock,4.8,274,"$35,790", Volvo,2021
58,"['XC40', 'Recharge', 'Pure', 'Electric', 'P']","14,877 mi.",Ken Pollock Volvo Cars,4.9,644,"$55,490", Volvo,2021
59,"['V90', 'T5', 'R-Design']","33,386 mi.",Volvo Cars Mall of Georgia,4.9,2187,"$48,000", Volvo,2021
60,"['XC90', 'T6', 'Momentum', '7', 'Passenger']","12,145 mi.",Bedard Bros,4.2,90,"$48,995", Volvo,2020
61,"['V90', 'Cross', 'Country', 'B']","6,055 mi.",Crest Volvo Cars,4.8,1606,"$59,437", Volvo,2022
62,"['XC60', 'Inscription']","2,442 mi.",Gengras Volvo,4.5,159,"$56,325", Volvo,2022
63,"['XC40', 'T5', 'R-Design']","40,783 mi.",Rickenbaugh Cadillac Volvo Cars,4.9,2659,"$40,000", Volvo,2020
64,"['S90', 'Hybrid', 'T8', 'R-Design']","36,555 mi.",Ken Pollock Volvo Cars,4.9,644,"$53,990", Volvo,2020
65,"['S60', 'Hybrid', 'T8', 'Inscription']","35,169 mi.",Niello Volvo Cars Sacramento,4.5,18,"$46,440", Volvo,2019
66,"['XC40', 'T5', 'R-Design']","20,047 mi.",Jaguar Land Rover Porsche Volvo Cars of Greenville,4.6,496,"$42,398", Volvo,2021
67,"['XC40', 'T4', 'Momentum']","15,855 mi.",Crown Volvo Cars,4.9,1490,"$30,491", Volvo,2020
68,"['XC60', 'T5', 'Momentum']","9,641 mi.",Niello Volvo Cars Sacramento,4.5,18,"$44,240", Volvo,2021
69,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","8,084 mi.",Crippen Automotive,4.9,1143,"$62,903", Volvo,2022
70,"['XC40', 'T4', 'Momentum']","24,146 mi.",Crest Volvo Cars,4.8,1606,"$38,884", Volvo,2021
71,"['V60', 'Cross', 'Country', 'T5']","36,326 mi.",Volvo Cars San Diego,4.4,130,"$38,792", Volvo,2020
72,"['XC40', 'T5', 'Inscription']","19,625 mi.",Crown Volvo Cars,4.9,1490,"$39,991", Volvo,2020
73,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","11,296 mi.",The Autobarn Volvo Cars of Oak Park,4.8,944,"$64,990", Volvo,2022
74,"['XC90', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription', 'Extended', 'Range', '6P']","1,684 mi.",Volvo Cars of Marietta,4.8,1119,"$78,989", Volvo,2022
75,"['S60', 'B5', 'R-Design']","4,511 mi.",Volvo Cars Gilbert,4.7,296,"$42,600", Volvo,2022
76,"['V90', 'T5', 'R-Design']","40,406 mi.",Secor Volvo,4.7,1057,"$39,995", Volvo,2019
77,"['S60', 'T5']","38,892 mi.",McLarty Volvo Cars of Little Rock,4.8,274,"$35,790", Volvo,2021
78,"['XC40', 'Recharge', 'Pure', 'Electric', 'P']","14,877 mi.",Ken Pollock Volvo Cars,4.9,644,"$55,490", Volvo,2021
79,"['V90', 'T5', 'R-Design']","33,386 mi.",Volvo Cars Mall of Georgia,4.9,2187,"$48,000", Volvo,2021
80,"['XC90', 'T6', 'Momentum', '7', 'Passenger']","12,145 mi.",Bedard Bros,4.2,90,"$48,995", Volvo,2020
81,"['V90', 'Cross', 'Country', 'B']","6,055 mi.",Crest Volvo Cars,4.8,1606,"$59,437", Volvo,2022
82,"['XC60', 'Inscription']","2,442 mi.",Gengras Volvo,4.5,159,"$56,325", Volvo,2022
83,"['XC40', 'T5', 'R-Design']","40,783 mi.",Rickenbaugh Cadillac Volvo Cars,4.9,2659,"$40,000", Volvo,2020
84,"['S90', 'Hybrid', 'T8', 'R-Design']","36,555 mi.",Ken Pollock Volvo Cars,4.9,644,"$53,990", Volvo,2020
85,"['XC40', 'T4', 'Momentum']","15,855 mi.",Crown Volvo Cars,4.9,1490,"$30,491", Volvo,2020
86,"['XC40', 'T5', 'R-Design']","20,047 mi.",Jaguar Land Rover Porsche Volvo Cars of Greenville,4.6,496,"$42,398", Volvo,2021
87,"['S60', 'Hybrid', 'T8', 'Inscription']","35,169 mi.",Niello Volvo Cars Sacramento,4.5,18,"$46,440", Volvo,2019
88,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","8,084 mi.",Crippen Automotive,4.9,1143,"$62,903", Volvo,2022
89,"['XC60', 'T5', 'Momentum']","9,641 mi.",Niello Volvo Cars Sacramento,4.5,18,"$44,240", Volvo,2021
90,"['XC40', 'T4', 'Momentum']","24,146 mi.",Crest Volvo Cars,4.8,1606,"$38,884", Volvo,2021
91,"['V60', 'Cross', 'Country', 'T5']","36,326 mi.",Volvo Cars San Diego,4.4,130,"$38,792", Volvo,2020
92,"['XC40', 'T5', 'Inscription']","19,625 mi.",Crown Volvo Cars,4.9,1490,"$39,991", Volvo,2020
93,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","11,296 mi.",The Autobarn Volvo Cars of Oak Park,4.8,944,"$64,990", Volvo,2022
94,"['XC90', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription', 'Extended', 'Range', '6P']","1,684 mi.",Volvo Cars of Marietta,4.8,1119,"$78,989", Volvo,2022
95,"['S60', 'B5', 'R-Design']","4,511 mi.",Volvo Cars Gilbert,4.7,296,"$42,600", Volvo,2022
96,"['V90', 'T5', 'R-Design']","40,406 mi.",Secor Volvo,4.7,1057,"$39,995", Volvo,2019
97,"['S60', 'T5']","38,892 mi.",McLarty Volvo Cars of Little Rock,4.8,274,"$35,790", Volvo,2021
98,"['XC40', 'Recharge', 'Pure', 'Electric', 'P']","14,877 mi.",Ken Pollock Volvo Cars,4.9,644,"$55,490", Volvo,2021
99,"['V90', 'T5', 'R-Design']","33,386 mi.",Volvo Cars Mall of Georgia,4.9,2187,"$48,000", Volvo,2021
100,"['X5', 'xDrive40i']","19,584 mi.",BMW of Minnetonka,4.8,1616,"$66,380", BMW,2021
101,"['X5', 'xDrive50i']","29,871 mi.",Sharpe BMW,4.7,294,"$55,000", BMW,2018
102,"['M850', 'i', 'xDrive']","28,039 mi.",BMW of San Antonio,4.5,957,"$73,762", BMW,2019
103,"['440', 'Gran', 'Coupe', 'i']","37,664 mi.",BMW of Fairfield,4.6,7,"$35,987", BMW,2018
104,"['M850', 'Gran', 'Coupe', 'i', 'xDrive']","27,570 mi.",BMW of Palm Springs,4.8,599,"$77,988", BMW,2020
105,"['M760', 'i', 'xDrive']","3,458 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$153,887", BMW,2022
106,"['M8', 'Gran', 'Coupe', 'Gran', 'Coupe']","6,313 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$122,994", BMW,2021
107,"['X3', 'M', 'AWD']","4,457 mi.",BMW of Fairfield,4.6,7,"$70,487", BMW,2021
108,"['X3', 'M', 'AWD']","6,959 mi.",Moses of St. Albans,4.8,672,"$83,095", BMW,2022
109,"['M550', 'i', 'xDrive']","46,442 mi.",BMW of South Albany,4.7,163,"$50,485", BMW,2019
110,"['X3', 'PHEV', 'xDrive30e']","4,182 mi.",Knauz Auto Park,4.8,2002,"$54,995", BMW,2021
111,"['M340', 'i']","12,139 mi.",Coggin BMW Treasure Coast,4.8,487,"$57,200", BMW,2021
112,"['430', 'Gran', 'Coupe', 'i']","46,870 mi.",BMW of Little Rock,4.8,781,"$31,890", BMW,2019
113,"['740', 'i', 'xDrive']","28,331 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$53,149", BMW,2019
114,"['M760', 'i', 'xDrive']","37,383 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$73,768", BMW,2018
115,"['X5', 'xDrive40i']","21,206 mi.",Sandia BMW MINI,4.5,237,"$61,675", BMW,2021
116,"['X7', 'xDrive40i']","26,555 mi.",BMW of Toledo,4.7,942,"$66,999", BMW,2020
117,"['750', 'i', 'xDrive']","41,593 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$52,993", BMW,2019
118,"['M440', 'Gran', 'Coupe', 'i', 'xDrive']","6,992 mi.",BMW of San Antonio,4.5,957,"$66,962", BMW,2022
119,"['530', 'i', 'xDrive']","36,685 mi.",BMW of Fairfield,4.6,7,"$39,287", BMW,2020
120,"['840', 'i']","7,966 mi.",Global Imports BMW,4.6,834,"$81,494", BMW,2020
121,"['X4', 'xDrive30i']","16,443 mi.",Pacific BMW,4.6,3552,"$44,771", BMW,2019
122,"['X5', 'xDrive50i']","29,871 mi.",Sharpe BMW,4.7,294,"$55,000", BMW,2018
123,"['440', 'Gran', 'Coupe', 'i']","37,664 mi.",BMW of Fairfield,4.6,7,"$35,987", BMW,2018
124,"['M850', 'i', 'xDrive']","28,039 mi.",BMW of San Antonio,4.5,957,"$73,762", BMW,2019
125,"['X3', 'M', 'AWD']","4,457 mi.",BMW of Fairfield,4.6,7,"$70,487", BMW,2021
126,"['M8', 'Gran', 'Coupe', 'Gran', 'Coupe']","6,313 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$122,994", BMW,2021
127,"['M760', 'i', 'xDrive']","3,458 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$153,887", BMW,2022
128,"['M850', 'Gran', 'Coupe', 'i', 'xDrive']","27,570 mi.",BMW of Palm Springs,4.8,599,"$77,988", BMW,2020
129,"['X3', 'M', 'AWD']","6,959 mi.",Moses of St. Albans,4.8,672,"$83,095", BMW,2022
130,"['M550', 'i', 'xDrive']","46,442 mi.",BMW of South Albany,4.7,163,"$50,485", BMW,2019
131,"['M340', 'i']","12,139 mi.",Coggin BMW Treasure Coast,4.8,487,"$57,200", BMW,2021
132,"['X3', 'PHEV', 'xDrive30e']","4,182 mi.",Knauz Auto Park,4.8,2002,"$54,995", BMW,2021
133,"['X7', 'xDrive40i']","26,555 mi.",BMW of Toledo,4.7,942,"$66,999", BMW,2020
134,"['750', 'i', 'xDrive']","41,593 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$52,993", BMW,2019
135,"['X5', 'xDrive40i']","21,206 mi.",Sandia BMW MINI,4.5,237,"$61,675", BMW,2021
136,"['740', 'i', 'xDrive']","28,331 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$53,149", BMW,2019
137,"['M760', 'i', 'xDrive']","37,383 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$73,768", BMW,2018
138,"['430', 'Gran', 'Coupe', 'i']","46,870 mi.",BMW of Little Rock,4.8,781,"$31,890", BMW,2019
139,"['M440', 'Gran', 'Coupe', 'i', 'xDrive']","6,992 mi.",BMW of San Antonio,4.5,957,"$66,962", BMW,2022
140,"['530e', 'iPerformance']","27,669 mi.",BMW Certified Pre-Owned Nashville,4.5,663,"$40,288", BMW,2019
141,"['530', 'i', 'xDrive']","36,685 mi.",BMW of Fairfield,4.6,7,"$39,287", BMW,2020
142,"['X5', 'xDrive40i']","19,584 mi.",BMW of Minnetonka,4.8,1616,"$66,380", BMW,2021
143,"['X5', 'xDrive50i']","29,871 mi.",Sharpe BMW,4.7,294,"$55,000", BMW,2018
144,"['M850', 'Gran', 'Coupe', 'i', 'xDrive']","27,570 mi.",BMW of Palm Springs,4.8,599,"$77,988", BMW,2020
145,"['440', 'Gran', 'Coupe', 'i']","37,664 mi.",BMW of Fairfield,4.6,7,"$35,987", BMW,2018
146,"['M850', 'i', 'xDrive']","28,039 mi.",BMW of San Antonio,4.5,957,"$73,762", BMW,2019
147,"['M8', 'Gran', 'Coupe', 'Gran', 'Coupe']","6,313 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$122,994", BMW,2021
148,"['X3', 'M', 'AWD']","4,457 mi.",BMW of Fairfield,4.6,7,"$70,487", BMW,2021
149,"['M760', 'i', 'xDrive']","3,458 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$153,887", BMW,2022
150,"['X3', 'M', 'AWD']","6,959 mi.",Moses of St. Albans,4.8,672,"$83,095", BMW,2022
151,"['M550', 'i', 'xDrive']","46,442 mi.",BMW of South Albany,4.7,163,"$50,485", BMW,2019
152,"['X3', 'PHEV', 'xDrive30e']","4,182 mi.",Knauz Auto Park,4.8,2002,"$54,995", BMW,2021
153,"['M340', 'i']","12,139 mi.",Coggin BMW Treasure Coast,4.8,487,"$57,200", BMW,2021
154,"['X7', 'xDrive40i']","26,555 mi.",BMW of Toledo,4.7,942,"$66,999", BMW,2020
155,"['740', 'i', 'xDrive']","28,331 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$53,149", BMW,2019
156,"['M760', 'i', 'xDrive']","37,383 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$73,768", BMW,2018
157,"['750', 'i', 'xDrive']","41,593 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$52,993", BMW,2019
158,"['X5', 'xDrive40i']","21,206 mi.",Sandia BMW MINI,4.5,237,"$61,675", BMW,2021
159,"['M440', 'Gran', 'Coupe', 'i', 'xDrive']","6,992 mi.",BMW of San Antonio,4.5,957,"$66,962", BMW,2022
160,"['430', 'Gran', 'Coupe', 'i']","46,870 mi.",BMW of Little Rock,4.8,781,"$31,890", BMW,2019
161,"['530e', 'iPerformance']","27,669 mi.",BMW Certified Pre-Owned Nashville,4.5,663,"$40,288", BMW,2019
162,"['430', 'i']","20,877 mi.",i.g. Burton Imports,4.7,27,"$45,999", BMW,2019
163,"['640', 'Gran', 'Turismo', 'i', 'xDrive']","42,626 mi.",Century West BMW,4.2,447,"$43,885", BMW,2019
164,"['X5', 'xDrive50i']","29,871 mi.",Sharpe BMW,4.7,294,"$55,000", BMW,2018
165,"['440', 'Gran', 'Coupe', 'i']","37,664 mi.",BMW of Fairfield,4.6,7,"$35,987", BMW,2018
166,"['M850', 'i', 'xDrive']","28,039 mi.",BMW of San Antonio,4.5,957,"$73,762", BMW,2019
167,"['X3', 'M', 'AWD']","4,457 mi.",BMW of Fairfield,4.6,7,"$70,487", BMW,2021
168,"['M8', 'Gran', 'Coupe', 'Gran', 'Coupe']","6,313 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$122,994", BMW,2021
169,"['M760', 'i', 'xDrive']","3,458 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$153,887", BMW,2022
170,"['M850', 'Gran', 'Coupe', 'i', 'xDrive']","27,570 mi.",BMW of Palm Springs,4.8,599,"$77,988", BMW,2020
171,"['X3', 'M', 'AWD']","6,959 mi.",Moses of St. Albans,4.8,672,"$83,095", BMW,2022
172,"['M550', 'i', 'xDrive']","46,442 mi.",BMW of South Albany,4.7,163,"$50,485", BMW,2019
173,"['M340', 'i']","12,139 mi.",Coggin BMW Treasure Coast,4.8,487,"$57,200", BMW,2021
174,"['X3', 'PHEV', 'xDrive30e']","4,182 mi.",Knauz Auto Park,4.8,2002,"$54,995", BMW,2021
175,"['X7', 'xDrive40i']","26,555 mi.",BMW of Toledo,4.7,942,"$66,999", BMW,2020
176,"['750', 'i', 'xDrive']","41,593 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$52,993", BMW,2019
177,"['X5', 'xDrive40i']","21,206 mi.",Sandia BMW MINI,4.5,237,"$61,675", BMW,2021
178,"['740', 'i', 'xDrive']","28,331 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$53,149", BMW,2019
179,"['M760', 'i', 'xDrive']","37,383 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$73,768", BMW,2018
180,"['430', 'Gran', 'Coupe', 'i']","46,870 mi.",BMW of Little Rock,4.8,781,"$31,890", BMW,2019
181,"['M440', 'Gran', 'Coupe', 'i', 'xDrive']","6,992 mi.",BMW of San Antonio,4.5,957,"$66,962", BMW,2022
182,"['530e', 'iPerformance']","27,669 mi.",BMW Certified Pre-Owned Nashville,4.5,663,"$40,288", BMW,2019
183,"['530', 'i', 'xDrive']","36,685 mi.",BMW of Fairfield,4.6,7,"$39,287", BMW,2020
184,"['X5', 'xDrive40i']","19,584 mi.",BMW of Minnetonka,4.8,1616,"$66,380", BMW,2021
185,"['X5', 'xDrive50i']","29,871 mi.",Sharpe BMW,4.7,294,"$55,000", BMW,2018
186,"['M850', 'Gran', 'Coupe', 'i', 'xDrive']","27,570 mi.",BMW of Palm Springs,4.8,599,"$77,988", BMW,2020
187,"['440', 'Gran', 'Coupe', 'i']","37,664 mi.",BMW of Fairfield,4.6,7,"$35,987", BMW,2018
188,"['M850', 'i', 'xDrive']","28,039 mi.",BMW of San Antonio,4.5,957,"$73,762", BMW,2019
189,"['M8', 'Gran', 'Coupe', 'Gran', 'Coupe']","6,313 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$122,994", BMW,2021
190,"['X3', 'M', 'AWD']","4,457 mi.",BMW of Fairfield,4.6,7,"$70,487", BMW,2021
191,"['M760', 'i', 'xDrive']","3,458 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$153,887", BMW,2022
192,"['X3', 'M', 'AWD']","6,959 mi.",Moses of St. Albans,4.8,672,"$83,095", BMW,2022
193,"['M550', 'i', 'xDrive']","46,442 mi.",BMW of South Albany,4.7,163,"$50,485", BMW,2019
194,"['X3', 'PHEV', 'xDrive30e']","4,182 mi.",Knauz Auto Park,4.8,2002,"$54,995", BMW,2021
195,"['M340', 'i']","12,139 mi.",Coggin BMW Treasure Coast,4.8,487,"$57,200", BMW,2021
196,"['X7', 'xDrive40i']","26,555 mi.",BMW of Toledo,4.7,942,"$66,999", BMW,2020
197,"['740', 'i', 'xDrive']","28,331 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$53,149", BMW,2019
198,"['M760', 'i', 'xDrive']","37,383 mi.",BMW of Fort Wayne/MINI of Fort Wayne,4.9,387,"$73,768", BMW,2018
199,"['750', 'i', 'xDrive']","41,593 mi.",Bergstrom Luxury on Victory Lane,4.8,290,"$52,993", BMW,2019
200,"['X5', 'xDrive40i']","21,206 mi.",Sandia BMW MINI,4.5,237,"$61,675", BMW,2021
201,"['M440', 'Gran', 'Coupe', 'i', 'xDrive']","6,992 mi.",BMW of San Antonio,4.5,957,"$66,962", BMW,2022
202,"['430', 'Gran', 'Coupe', 'i']","46,870 mi.",BMW of Little Rock,4.8,781,"$31,890", BMW,2019
203,"['530e', 'iPerformance']","27,669 mi.",BMW Certified Pre-Owned Nashville,4.5,663,"$40,288", BMW,2019
204,"['430', 'i']","20,877 mi.",i.g. Burton Imports,4.7,27,"$45,999", BMW,2019
205,"['MDX', 'A-Spec']","25,082 mi.",Acura of Alhambra,3.2,50,"$57,299", Acura,2022
206,"['ILX', 'Base']","5,433 mi.",Acura of Orange Park,4.2,333,"$28,412", Acura,2021
207,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Technology', 'Package']","30,890 mi.",Santa Barbara Auto Group,4.1,37,"$44,995", Acura,2020
208,"['MDX', 'Type', 'S', 'w/Advance', 'Package']","9,318 mi.",Ed Martin Acura,4.7,445,"$71,777", Acura,2022
209,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","4,042 mi.",Jackson Acura,4.8,5365,"$33,985", Acura,2022
210,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","5,387 mi.",Acura of Reno,4.6,186,"$34,777", Acura,2022
211,"['ILX', 'Premium', 'Package']","7,279 mi.",Acura of Avon,4.8,807,"$28,500", Acura,2022
212,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","30,015 mi.",Ron Tonkin Acura,4.7,139,"$30,995", Acura,2020
213,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","2,910 mi.",Don Ayres Acura,4.9,19,"$32,055", Acura,2022
214,"['TLX', 'A-Spec']","24,676 mi.",Bob Lindsay Acura,4.9,359,"$34,761", Acura,2020
215,['ILX'],"10,500 mi.",Frank Leta Acura of Springfield,4.8,483,"$32,500", Acura,2021
216,"['ILX', '2.4L']","53,363 mi.",Jay Wolfe Acura,4.8,2395,"$22,600", Acura,2016
217,"['TLX', 'A-Spec']","11,174 mi.",Lindsay Acura,4.2,283,"$46,365", Acura,2022
218,"['MDX', 'A-Spec']","10,790 mi.",Davis Acura,4.7,2816,"$58,188", Acura,2022
219,"['RDX', 'A-Spec']","22,812 mi.",Harper Acura,4.9,944,"$44,232", Acura,2021
220,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Advance', 'Package']","53,007 mi.",Advantage Acura of Naperville,4.7,437,"$48,899", Acura,2020
221,"['ILX', 'Premium', 'Package']","5,749 mi.",Grubbs Acura,4.3,87,"$30,500", Acura,2021
222,"['RDX', 'Advance', 'Package']","18,349 mi.",Harper Acura,4.9,944,"$44,996", Acura,2021
223,"['RDX', 'A-Spec']","9,839 mi.",Speedcraft Acura,4.6,36,"$46,994", Acura,2021
224,"['ILX', 'Premium', 'Package']","42,523 mi.",Duval Acura,4.9,2443,"$26,900", Acura,2019
225,"['MDX', '3.5L', 'w/Technology', 'Package']","22,890 mi.",CardinaleWay Acura Las Vegas,4.7,293,"$42,497", Acura,2020
226,"['MDX', '3.5L']","25,059 mi.",Acura of Alhambra,3.2,50,"$37,288", Acura,2020
227,"['ILX', 'Base']","5,433 mi.",Acura of Orange Park,4.2,333,"$28,412", Acura,2021
228,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Technology', 'Package']","30,890 mi.",Santa Barbara Auto Group,4.1,37,"$44,995", Acura,2020
229,"['MDX', 'Type', 'S', 'w/Advance', 'Package']","9,318 mi.",Ed Martin Acura,4.7,445,"$71,777", Acura,2022
230,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","4,042 mi.",Jackson Acura,4.8,5365,"$33,985", Acura,2022
231,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","5,387 mi.",Acura of Reno,4.6,186,"$34,777", Acura,2022
232,"['ILX', 'Premium', 'Package']","7,279 mi.",Acura of Avon,4.8,807,"$28,500", Acura,2022
233,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","30,015 mi.",Ron Tonkin Acura,4.7,139,"$30,995", Acura,2020
234,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","2,910 mi.",Don Ayres Acura,4.9,19,"$32,055", Acura,2022
235,['ILX'],"10,500 mi.",Frank Leta Acura of Springfield,4.8,483,"$32,500", Acura,2021
236,"['TLX', 'A-Spec']","24,676 mi.",Bob Lindsay Acura,4.9,359,"$34,761", Acura,2020
237,"['ILX', '2.4L']","53,363 mi.",Jay Wolfe Acura,4.8,2395,"$22,600", Acura,2016
238,"['TLX', 'A-Spec']","11,174 mi.",Lindsay Acura,4.2,283,"$46,365", Acura,2022
239,"['MDX', 'A-Spec']","10,790 mi.",Davis Acura,4.7,2816,"$58,188", Acura,2022
240,"['RDX', 'A-Spec']","22,812 mi.",Harper Acura,4.9,944,"$44,232", Acura,2021
241,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Advance', 'Package']","53,007 mi.",Advantage Acura of Naperville,4.7,437,"$48,899", Acura,2020
242,"['ILX', 'Premium', 'Package']","5,749 mi.",Grubbs Acura,4.3,87,"$30,500", Acura,2021
243,"['RDX', 'Advance', 'Package']","18,349 mi.",Harper Acura,4.9,944,"$44,996", Acura,2021
244,"['RDX', 'A-Spec']","9,839 mi.",Speedcraft Acura,4.6,36,"$46,994", Acura,2021
245,"['ILX', 'Premium', 'Package']","42,523 mi.",Duval Acura,4.9,2443,"$26,900", Acura,2019
246,"['MDX', '3.5L', 'w/Technology', 'Package']","22,890 mi.",CardinaleWay Acura Las Vegas,4.7,293,"$42,497", Acura,2020
247,"['ILX', 'Premium', 'Package']","31,185 mi.",Acura of Alhambra,3.2,50,"$27,348", Acura,2019
248,"['ILX', 'Base']","5,433 mi.",Acura of Orange Park,4.2,333,"$28,412", Acura,2021
249,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Technology', 'Package']","30,890 mi.",Santa Barbara Auto Group,4.1,37,"$44,995", Acura,2020
250,"['MDX', 'Type', 'S', 'w/Advance', 'Package']","9,318 mi.",Ed Martin Acura,4.7,445,"$71,777", Acura,2022
251,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","4,042 mi.",Jackson Acura,4.8,5365,"$33,985", Acura,2022
252,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","5,387 mi.",Acura of Reno,4.6,186,"$34,777", Acura,2022
253,"['ILX', 'Premium', 'Package']","7,279 mi.",Acura of Avon,4.8,807,"$28,500", Acura,2022
254,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","30,015 mi.",Ron Tonkin Acura,4.7,139,"$30,995", Acura,2020
255,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","2,910 mi.",Don Ayres Acura,4.9,19,"$32,055", Acura,2022
256,"['ILX', '2.4L']","53,363 mi.",Jay Wolfe Acura,4.8,2395,"$22,600", Acura,2016
257,"['TLX', 'A-Spec']","24,676 mi.",Bob Lindsay Acura,4.9,359,"$34,761", Acura,2020
258,['ILX'],"10,500 mi.",Frank Leta Acura of Springfield,4.8,483,"$32,500", Acura,2021
259,"['TLX', 'A-Spec']","11,174 mi.",Lindsay Acura,4.2,283,"$46,365", Acura,2022
260,"['MDX', 'A-Spec']","10,790 mi.",Davis Acura,4.7,2816,"$58,188", Acura,2022
261,"['RDX', 'A-Spec']","22,812 mi.",Harper Acura,4.9,944,"$44,232", Acura,2021
262,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Advance', 'Package']","53,007 mi.",Advantage Acura of Naperville,4.7,437,"$48,899", Acura,2020
263,"['ILX', 'Premium', 'Package']","5,749 mi.",Grubbs Acura,4.3,87,"$30,500", Acura,2021
264,"['RDX', 'Advance', 'Package']","18,349 mi.",Harper Acura,4.9,944,"$44,996", Acura,2021
265,"['RDX', 'A-Spec']","9,839 mi.",Speedcraft Acura,4.6,36,"$46,994", Acura,2021
266,"['ILX', 'Premium', 'Package']","42,523 mi.",Duval Acura,4.9,2443,"$26,900", Acura,2019
267,"['MDX', '3.5L', 'w/Technology', 'Package']","22,890 mi.",CardinaleWay Acura Las Vegas,4.7,293,"$42,497", Acura,2020
268,"['ILX', 'Premium', 'Package']","31,185 mi.",Acura of Alhambra,3.2,50,"$27,348", Acura,2019
269,"['ILX', 'Base']","5,433 mi.",Acura of Orange Park,4.2,333,"$28,412", Acura,2021
270,"['MDX', 'Sport', 'Hybrid', '3.0L', 'w/Technology', 'Package']","30,890 mi.",Santa Barbara Auto Group,4.1,37,"$44,995", Acura,2020
271,"['MDX', 'Type', 'S', 'w/Advance', 'Package']","9,318 mi.",Ed Martin Acura,4.7,445,"$71,777", Acura,2022
272,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","4,042 mi.",Jackson Acura,4.8,5365,"$33,985", Acura,2022
273,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","5,387 mi.",Acura of Reno,4.6,186,"$34,777", Acura,2022
274,"['ILX', 'Premium', 'Package']","7,279 mi.",Acura of Avon,4.8,807,"$28,500", Acura,2022
275,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","30,015 mi.",Ron Tonkin Acura,4.7,139,"$30,995", Acura,2020
276,"['ILX', 'Premium', '&', 'A-SPEC', 'Packages']","2,910 mi.",Don Ayres Acura,4.9,19,"$32,055", Acura,2022
277,"['TLX', 'A-Spec']","24,676 mi.",Bob Lindsay Acura,4.9,359,"$34,761", Acura,2020
278,['ILX'],"10,500 mi.",Frank Leta Acura of Springfield,4.8,483,"$32,500", Acura,2021
