,Model,Mileage in mi,Dealer Name,Rating,Rating Count,Price in $,Brand Name,Year
711,"['Niro', 'Plug-In', 'Hybrid', 'EX']","9,718 mi.",Kia of Augusta,4.8,380,"$36,971", Kia,2022
712,"['Carnival', 'SX', 'Prestige']","12,186 mi.",Taylor Kia Hyundai of Toledo,4.8,532,"$55,000", Kia,2022
713,"['Sorento', 'S']","1,429 mi.",Kia of Clarksville,4.1,140,"$42,993", Kia,2022
714,"['Kia', 'Sportage', 'X-Line']","6,582 mi.",Smart Kia of Davenport,4.8,280,"$33,660", Kia,2023
715,"['Sorento', 'Hybrid', 'S']","44,271 mi.",Landers Kia,4.4,216,"$34,828", Kia,2021
716,"['K900', 'Luxury']","19,329 mi.",DCH Kia of Temecula,4.6,78,"$36,999", Kia,2019
717,"['Optima', 'S']","32,736 mi.",All Star Kia of Baton Rouge,4.5,250,"$25,754", Kia,2020
718,"['Sorento', 'S']","36,764 mi.",Stokes Kia,4.7,597,"$27,999", Kia,2019
719,"['Kia', 'Sportage', 'X-Line']","8,428 mi.",Germain Kia of Columbus,4.4,241,"$35,571", Kia,2023
720,"['Kia', 'K5', 'GT-Line']","2,255 mi.",Ferguson Superstore,4.9,5918,"$35,000", Kia,2023
721,"['Telluride', 'SX']","13,971 mi.",Kalidy Kia,2.6,35,"$56,000", Kia,2022
722,"['Carnival', 'LXS']","22,012 mi.",Fred Anderson Kia,4.6,902,"$41,900", Kia,2022
723,"['Telluride', 'LX']","17,368 mi.",Kia of Columbia,4.6,24,"$36,400", Kia,2020
724,"['EV6', 'GT-Line']","4,737 mi.",Rountree Moore Kia,4.7,195,"$59,998", Kia,2022
725,"['Stinger', 'GT']","23,102 mi.",Kia Of Mccomb,3.6,16,"$44,078", Kia,2021
726,"['Cadenza', 'Technology']","32,918 mi.",Kia of Canton,4.7,298,"$29,397", Kia,2019
727,"['Stinger', 'Premium']","38,052 mi.",Crain Kia,3.6,126,"$30,500", Kia,2018
728,"['Niro', 'EV', 'EX', 'Premium']","7,672 mi.",Kia of Everett,4.8,629,"$43,408", Kia,2020
729,"['Stinger', 'GT-Line']","11,325 mi.",Capital Kia,3.8,71,"$39,477", Kia,2022
730,"['XT6', 'Premium', 'Luxury', 'AWD']","26,111 mi.",Red Noland Cadillac,,0,"$53,989", Cadillac,2020
731,"['XT6', 'Premium', 'Luxury', 'FWD']","44,109 mi.",Mark Christopher Chevrolet Buick GMC Cadillac,4.4,7389,"$43,333", Cadillac,2020
732,"['XT6', 'Premium', 'Luxury', 'FWD']","31,791 mi.",John Elway Cadillac,4.8,287,"$47,000", Cadillac,2020
733,"['CT4', 'Premium', 'Luxury']","1,124 mi.",Randy Marion Chevrolet Buick of Mooresville,4.4,266,"$36,988", Cadillac,2020
734,"['CT5', 'Premium', 'Luxury', 'RWD']","1,538 mi.",Lone Star Cadillac,4.3,303,"$49,219", Cadillac,2022
735,"['CT5', 'Luxury', 'RWD']","30,436 mi.",Baker Buick GMC Cadillac,4.6,203,"$36,495", Cadillac,2020
736,"['XT4', 'Sport']","23,164 mi.",Boucher Cadillac of Waukesha,4.7,545,"$39,985", Cadillac,2020
737,"['CT4', 'Sport']","5,949 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,168,"$42,818", Cadillac,2021
738,"['CT6', '2.0L', 'Turbo', 'Luxury']","36,619 mi.",Cadillac of Las Vegas,4.7,299,"$38,998", Cadillac,2018
739,"['XT4', 'Premium', 'Luxury']","32,521 mi.",Tom Kelley Cadillac,4.9,436,"$33,908", Cadillac,2020
740,"['ATS', '2.0L', 'Turbo']","12,715 mi.",Ocean Cadillac,4.6,803,"$30,500", Cadillac,2019
741,"['CT4-V', 'V-Series']","2,185 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$54,900", Cadillac,2022
742,"['XT4', 'Sport']","59,143 mi.",Corwin Motors Kalispell,4.7,143,"$34,713", Cadillac,2019
743,"['Escalade', 'ESV', 'Platinum']","46,188 mi.",John Elway Cadillac,4.8,287,"$63,484", Cadillac,2018
744,"['CT6', 'Luxury']","16,781 mi.",Robert Basil Buick GMC Cadillac,4.5,236,"$59,916", Cadillac,2020
745,"['CT4', 'Luxury']","4,988 mi.",Crest Auto Group,4.5,565,"$37,465", Cadillac,2022
746,"['Escalade', 'ESV', 'Premium', 'Luxury']","39,558 mi.",Royal Buick GMC Cadillac Tucson,4.9,1494,"$69,990", Cadillac,2020
747,"['CT5', 'Luxury', 'RWD']","10,811 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$39,991", Cadillac,2021
748,"['ATS', '2.0L', 'Turbo', 'Luxury']","23,875 mi.",Paul Conte Cadillac,4.8,1385,"$34,995", Cadillac,2019
749,"['CTS', '2.0L', 'Turbo', 'Luxury']","32,992 mi.",Cole Valley Cadillac,4.6,133,"$34,777", Cadillac,2019
750,"['ATS', '2.0L', 'Turbo', 'Luxury']","16,660 mi.",Big Star Cadillac,4.8,886,"$27,999", Cadillac,2018
751,"['XT6', 'Premium', 'Luxury', 'AWD']","26,111 mi.",Red Noland Cadillac,,0,"$53,989", Cadillac,2020
752,"['CT5', 'Premium', 'Luxury', 'RWD']","1,538 mi.",Lone Star Cadillac,4.3,303,"$49,219", Cadillac,2022
